@RELATION MNIST_038_database

@ATTRIBUTE mean NUMERIC
@ATTRIBUTE var NUMERIC
@ATTRIBUTE proy_0-3 NUMERIC
@ATTRIBUTE proy_8-3 NUMERIC
@ATTRIBUTE proy_0-8 NUMERIC
@ATTRIBUTE class {cero,tres,ocho}

@DATA
0.127,0.089,22.997,-0.769,23.766,cero
0.166,0.115,21.299,-0.481,21.779,cero
0.222,0.147,27.758,0.898,26.860,cero
0.158,0.109,30.186,1.134,29.051,cero
0.150,0.105,24.755,2.332,22.423,cero
0.161,0.110,31.011,1.607,29.404,cero
0.191,0.131,35.374,2.782,32.592,cero
0.203,0.137,36.074,3.032,33.042,cero
0.167,0.113,29.807,2.774,27.032,cero
0.198,0.138,16.946,-4.334,21.279,cero
0.194,0.134,38.709,5.161,33.548,cero
0.153,0.108,28.617,5.498,23.118,cero
0.177,0.124,25.159,0.613,24.546,cero
0.190,0.128,34.864,1.179,33.686,cero
0.184,0.129,19.081,-1.419,20.500,cero
0.191,0.130,38.236,2.244,35.992,cero
0.150,0.106,21.614,2.520,19.094,cero
0.193,0.131,31.281,2.928,28.354,cero
0.138,0.097,20.228,-2.259,22.487,cero
0.138,0.097,12.648,-1.835,14.483,cero
0.156,0.114,14.884,6.070,8.814,cero
0.180,0.123,25.626,-3.119,28.745,cero
0.189,0.135,27.714,-1.837,29.552,cero
0.069,0.045,0.316,2.192,-1.876,cero
0.169,0.118,28.875,1.128,27.746,cero
0.159,0.111,23.899,1.591,22.308,cero
0.156,0.108,26.464,1.748,24.716,cero
0.175,0.120,24.040,-2.422,26.462,cero
0.160,0.110,23.737,1.257,22.480,cero
0.175,0.121,25.621,1.598,24.023,cero
0.131,0.094,18.240,0.147,18.093,cero
0.090,0.064,10.886,1.898,8.988,cero
0.156,0.105,34.096,3.216,30.880,cero
0.154,0.110,29.993,3.052,26.941,cero
0.123,0.090,22.441,5.940,16.501,cero
0.187,0.129,30.136,2.344,27.792,cero
0.147,0.104,24.329,1.570,22.760,cero
0.175,0.120,26.268,-1.326,27.595,cero
0.162,0.122,15.941,5.809,10.132,cero
0.148,0.104,27.521,0.604,26.916,cero
0.183,0.125,28.270,1.639,26.632,cero
0.188,0.128,30.572,-0.816,31.388,cero
0.156,0.109,27.676,-0.393,28.069,cero
0.132,0.093,24.211,-0.258,24.469,cero
0.182,0.124,25.019,0.750,24.270,cero
0.163,0.112,22.192,2.808,19.384,cero
0.165,0.114,29.421,1.806,27.616,cero
0.072,0.045,7.179,2.412,4.767,cero
0.142,0.100,26.039,3.441,22.598,cero
0.198,0.130,30.865,2.988,27.877,cero
0.144,0.099,14.609,-3.351,17.960,cero
0.147,0.101,12.596,-1.107,13.703,cero
0.146,0.101,18.361,-4.234,22.596,cero
0.143,0.098,23.205,1.850,21.354,cero
0.131,0.089,15.736,-3.317,19.053,cero
0.159,0.110,18.976,-4.555,23.531,cero
0.157,0.111,24.188,-0.190,24.378,cero
0.139,0.101,11.077,6.903,4.175,cero
0.146,0.101,26.176,1.175,25.001,cero
0.138,0.098,26.291,3.212,23.079,cero
0.127,0.087,21.743,1.645,20.098,cero
0.168,0.113,17.018,-1.776,18.793,cero
0.152,0.111,14.677,4.493,10.184,cero
0.203,0.142,29.189,6.135,23.055,cero
0.174,0.120,32.255,2.501,29.754,cero
0.187,0.127,35.803,3.089,32.714,cero
0.144,0.099,23.320,-0.813,24.133,cero
0.099,0.068,20.124,4.375,15.750,cero
0.159,0.112,26.423,3.056,23.367,cero
0.087,0.059,12.068,0.443,11.625,cero
0.227,0.152,27.698,-3.434,31.132,cero
0.167,0.118,24.485,0.828,23.658,cero
0.151,0.105,25.689,3.690,22.000,cero
0.179,0.120,34.301,5.136,29.165,cero
0.209,0.140,28.240,-1.942,30.182,cero
0.209,0.139,37.722,1.207,36.516,cero
0.221,0.151,34.326,-2.109,36.434,cero
0.194,0.134,31.147,7.728,23.419,cero
0.163,0.111,28.148,-0.215,28.363,cero
0.154,0.109,19.003,3.477,15.526,cero
0.171,0.123,26.633,3.023,23.610,cero
0.154,0.105,26.800,3.540,23.260,cero
0.193,0.132,23.642,-0.030,23.673,cero
0.152,0.107,25.374,0.954,24.420,cero
0.158,0.109,23.238,-1.843,25.081,cero
0.184,0.126,30.485,-0.163,30.648,cero
0.140,0.097,19.320,0.666,18.654,cero
0.161,0.111,24.257,0.374,23.883,cero
0.144,0.107,14.702,-2.048,16.750,cero
0.187,0.130,29.517,0.271,29.245,cero
0.120,0.083,16.477,3.852,12.625,cero
0.131,0.094,19.843,-1.021,20.864,cero
0.258,0.170,37.071,-2.241,39.311,cero
0.169,0.117,31.209,4.954,26.255,cero
0.158,0.112,18.214,-1.096,19.310,cero
0.201,0.136,26.445,1.396,25.049,cero
0.127,0.090,26.662,5.795,20.867,cero
0.158,0.110,30.896,1.601,29.295,cero
0.188,0.130,34.304,1.762,32.541,cero
0.098,0.070,18.563,6.225,12.338,cero
0.195,0.131,17.308,0.013,17.296,cero
0.171,0.121,15.969,5.731,10.237,cero
0.199,0.137,34.602,2.141,32.461,cero
0.225,0.153,41.685,2.658,39.026,cero
0.187,0.131,29.882,4.704,25.178,cero
0.166,0.119,11.312,5.964,5.348,cero
0.177,0.123,22.031,3.352,18.679,cero
0.110,0.076,19.995,3.755,16.240,cero
0.110,0.080,12.550,1.540,11.010,cero
0.188,0.133,31.887,0.656,31.231,cero
0.177,0.122,29.822,3.596,26.226,cero
0.271,0.173,22.886,4.779,18.106,cero
0.233,0.156,33.557,1.136,32.421,cero
0.177,0.121,36.014,3.841,32.172,cero
0.131,0.089,21.615,1.161,20.454,cero
0.188,0.130,38.309,3.111,35.197,cero
0.161,0.108,25.216,1.493,23.723,cero
0.204,0.141,27.749,5.229,22.520,cero
0.148,0.103,23.243,0.897,22.346,cero
0.235,0.159,28.469,8.418,20.050,cero
0.199,0.138,34.252,10.037,24.215,cero
0.194,0.135,27.275,3.629,23.646,cero
0.134,0.094,21.038,2.239,18.798,cero
0.192,0.131,28.202,6.176,22.026,cero
0.154,0.103,22.309,9.072,13.238,cero
0.192,0.137,25.564,11.012,14.552,cero
0.130,0.095,0.908,8.791,-7.883,cero
0.195,0.136,25.047,3.910,21.137,cero
0.182,0.127,28.103,0.628,27.475,cero
0.258,0.169,34.479,0.200,34.279,cero
0.210,0.144,36.817,0.937,35.881,cero
0.235,0.161,43.741,3.348,40.393,cero
0.095,0.062,11.930,3.478,8.452,cero
0.133,0.093,26.344,2.182,24.162,cero
0.193,0.136,21.726,4.475,17.251,cero
0.194,0.138,15.929,5.449,10.480,cero
0.262,0.168,42.568,1.601,40.966,cero
0.204,0.142,34.044,0.265,33.779,cero
0.148,0.104,23.098,3.104,19.994,cero
0.196,0.134,31.274,1.599,29.675,cero
0.088,0.060,3.492,-0.408,3.900,cero
0.241,0.159,41.246,3.095,38.151,cero
0.227,0.152,44.913,3.731,41.182,cero
0.240,0.159,38.690,1.728,36.961,cero
0.153,0.109,12.934,3.762,9.172,cero
0.107,0.075,11.609,2.009,9.600,cero
0.155,0.111,18.255,3.618,14.638,cero
0.170,0.119,23.011,2.567,20.444,cero
0.186,0.132,21.191,2.716,18.475,cero
0.135,0.093,19.782,1.445,18.338,cero
0.164,0.117,22.766,1.646,21.119,cero
0.214,0.144,36.084,1.642,34.442,cero
0.159,0.111,23.528,-1.522,25.050,cero
0.107,0.074,21.314,3.285,18.029,cero
0.085,0.058,6.476,3.832,2.644,cero
0.170,0.120,24.571,0.742,23.829,cero
0.162,0.113,21.044,0.666,20.378,cero
0.112,0.077,18.210,3.568,14.642,cero
0.151,0.106,20.193,3.575,16.618,cero
0.157,0.105,19.846,-4.274,24.120,cero
0.177,0.124,30.146,2.703,27.443,cero
0.161,0.112,27.974,4.165,23.809,cero
0.197,0.134,41.013,4.189,36.823,cero
0.176,0.123,20.549,1.928,18.621,cero
0.208,0.141,26.780,-0.469,27.249,cero
0.201,0.136,22.070,1.180,20.890,cero
0.101,0.071,13.798,3.166,10.632,cero
0.173,0.119,26.874,-3.363,30.238,cero
0.179,0.126,19.107,-1.151,20.258,cero
0.165,0.115,28.798,1.400,27.398,cero
0.175,0.123,11.483,-1.583,13.067,cero
0.212,0.145,37.151,4.130,33.021,cero
0.185,0.124,30.243,1.448,28.795,cero
0.155,0.111,19.029,1.813,17.216,cero
0.137,0.095,22.614,2.844,19.771,cero
0.173,0.118,23.800,-2.730,26.530,cero
0.145,0.106,15.187,4.584,10.603,cero
0.137,0.094,26.185,2.246,23.939,cero
0.185,0.125,24.252,-0.868,25.120,cero
0.168,0.116,29.233,0.856,28.378,cero
0.143,0.103,24.091,0.421,23.670,cero
0.154,0.106,19.547,0.442,19.104,cero
0.183,0.124,16.224,1.109,15.114,cero
0.188,0.129,32.743,1.093,31.650,cero
0.187,0.128,31.435,2.878,28.557,cero
0.130,0.087,24.528,2.123,22.405,cero
0.185,0.128,29.838,0.989,28.850,cero
0.130,0.091,19.595,0.899,18.696,cero
0.174,0.121,28.084,3.153,24.931,cero
0.161,0.111,19.394,-2.151,21.545,cero
0.175,0.122,21.732,-2.447,24.179,cero
0.164,0.111,15.543,-2.964,18.507,cero
0.163,0.118,19.729,0.141,19.588,cero
0.154,0.104,22.771,4.225,18.546,cero
0.132,0.086,11.012,-0.752,11.764,cero
0.168,0.112,20.780,-1.802,22.582,cero
0.127,0.086,13.302,0.892,12.409,cero
0.154,0.101,14.009,0.357,13.652,cero
0.138,0.098,25.655,4.106,21.548,cero
0.163,0.116,18.769,4.375,14.394,cero
0.145,0.103,23.317,5.480,17.838,cero
0.162,0.114,31.416,0.898,30.518,cero
0.178,0.123,34.248,6.471,27.777,cero
0.268,0.171,27.570,-2.480,30.050,cero
0.199,0.134,27.692,2.573,25.119,cero
0.203,0.139,18.902,-1.213,20.115,cero
0.148,0.107,2.037,6.044,-4.007,cero
0.241,0.165,24.783,4.233,20.549,cero
0.214,0.144,30.023,2.895,27.128,cero
0.161,0.125,-0.314,9.064,-9.378,cero
0.219,0.153,19.635,10.067,9.568,cero
0.206,0.144,28.502,6.625,21.877,cero
0.189,0.130,21.591,2.545,19.046,cero
0.154,0.113,16.148,1.754,14.393,cero
0.191,0.133,27.178,0.948,26.230,cero
0.181,0.126,25.126,1.327,23.798,cero
0.176,0.122,35.554,5.405,30.149,cero
0.152,0.107,21.226,-0.233,21.459,cero
0.215,0.149,24.894,3.011,21.883,cero
0.130,0.092,13.781,2.098,11.683,cero
0.168,0.115,23.368,-0.386,23.754,cero
0.141,0.095,17.301,-3.823,21.124,cero
0.147,0.103,9.665,3.580,6.085,cero
0.194,0.136,44.264,8.123,36.141,cero
0.148,0.103,27.410,2.774,24.636,cero
0.203,0.138,30.737,1.308,29.429,cero
0.170,0.120,33.196,7.751,25.445,cero
0.186,0.129,29.943,5.574,24.368,cero
0.145,0.098,22.799,8.725,14.074,cero
0.169,0.124,0.862,7.615,-6.753,cero
0.100,0.070,15.550,1.306,14.243,cero
0.235,0.158,41.626,8.584,33.041,cero
0.165,0.113,22.075,-1.743,23.818,cero
0.143,0.103,5.703,-2.154,7.857,cero
0.208,0.142,39.473,4.579,34.894,cero
0.166,0.117,37.150,6.005,31.145,cero
0.176,0.124,26.347,5.449,20.898,cero
0.172,0.120,34.618,3.802,30.816,cero
0.113,0.074,10.612,-0.549,11.161,cero
0.199,0.134,34.899,0.589,34.311,cero
0.174,0.124,8.002,7.625,0.378,cero
0.199,0.137,40.693,3.229,37.464,cero
0.177,0.123,29.478,1.467,28.011,cero
0.108,0.076,15.880,1.415,14.465,cero
0.189,0.126,22.366,3.619,18.747,cero
0.132,0.092,23.628,0.362,23.266,cero
0.136,0.096,13.819,3.248,10.571,cero
0.140,0.096,27.250,0.883,26.367,cero
0.105,0.071,14.654,4.398,10.257,cero
0.161,0.112,34.417,4.063,30.354,cero
0.166,0.115,32.178,0.707,31.471,cero
0.163,0.111,30.304,7.663,22.641,cero
0.221,0.153,14.822,4.919,9.903,cero
0.175,0.121,31.941,0.460,31.481,cero
0.218,0.145,32.276,2.974,29.302,cero
0.115,0.078,15.845,1.425,14.420,cero
0.173,0.119,28.875,-0.679,29.554,cero
0.163,0.113,27.728,-2.051,29.779,cero
0.136,0.096,18.188,2.614,15.574,cero
0.105,0.071,14.917,0.018,14.898,cero
0.120,0.084,20.454,1.778,18.675,cero
0.147,0.109,6.845,7.668,-0.822,cero
0.093,0.061,18.096,-0.093,18.189,cero
0.151,0.107,30.688,3.003,27.685,cero
0.135,0.098,23.494,-0.416,23.910,cero
0.154,0.105,22.377,-1.547,23.924,cero
0.110,0.077,14.365,-1.747,16.112,cero
0.127,0.093,23.764,0.692,23.072,cero
0.093,0.061,19.044,1.491,17.553,cero
0.120,0.084,11.609,-3.890,15.499,cero
0.177,0.123,30.118,3.274,26.844,cero
0.122,0.080,22.304,2.799,19.505,cero
0.134,0.095,-3.415,1.843,-5.258,cero
0.098,0.064,17.522,1.191,16.331,cero
0.142,0.101,22.115,7.167,14.948,cero
0.105,0.072,18.147,-0.304,18.451,cero
0.112,0.079,6.666,-1.353,8.020,cero
0.109,0.075,3.079,3.467,-0.388,cero
0.117,0.084,7.613,-1.574,9.187,cero
0.173,0.122,34.509,3.914,30.595,cero
0.081,0.054,6.271,0.511,5.761,cero
0.117,0.087,-1.237,1.006,-2.243,cero
0.150,0.111,2.037,3.991,-1.954,cero
0.129,0.093,9.146,1.562,7.584,cero
0.188,0.129,37.151,4.126,33.025,cero
0.108,0.080,2.450,0.475,1.975,cero
0.135,0.097,16.046,-2.828,18.875,cero
0.208,0.141,30.458,-0.433,30.891,cero
0.178,0.122,26.202,-0.768,26.970,cero
0.123,0.089,6.365,-0.471,6.835,cero
0.115,0.083,9.025,-1.466,10.491,cero
0.150,0.110,13.381,1.175,12.206,cero
0.177,0.124,29.214,-0.787,30.001,cero
0.185,0.127,31.369,0.547,30.822,cero
0.140,0.098,18.711,-0.307,19.019,cero
0.133,0.094,20.498,2.057,18.440,cero
0.189,0.137,17.297,-6.135,23.432,cero
0.132,0.093,14.736,2.875,11.862,cero
0.148,0.105,18.273,1.689,16.584,cero
0.207,0.142,28.988,-3.586,32.574,cero
0.152,0.109,14.131,0.687,13.443,cero
0.163,0.112,31.098,2.031,29.067,cero
0.158,0.112,30.620,5.152,25.468,cero
0.183,0.129,9.786,2.710,7.076,cero
0.161,0.115,13.851,0.601,13.250,cero
0.183,0.133,22.623,0.316,22.308,cero
0.127,0.095,15.625,3.670,11.955,cero
0.146,0.105,25.168,2.370,22.798,cero
0.165,0.115,26.198,4.593,21.606,cero
0.188,0.124,16.426,6.760,9.666,cero
0.174,0.124,29.132,3.308,25.824,cero
0.157,0.110,29.988,3.352,26.637,cero
0.200,0.138,31.146,3.677,27.469,cero
0.152,0.108,24.661,8.085,16.576,cero
0.144,0.104,12.911,0.017,12.894,cero
0.196,0.138,30.126,5.656,24.471,cero
0.191,0.134,17.054,2.902,14.152,cero
0.124,0.085,22.073,-0.223,22.296,cero
0.176,0.120,29.623,1.821,27.802,cero
0.203,0.138,27.856,-2.535,30.391,cero
0.195,0.134,21.991,-0.753,22.743,cero
0.235,0.160,23.375,2.497,20.878,cero
0.198,0.135,26.800,-0.396,27.195,cero
0.198,0.140,3.632,0.816,2.816,cero
0.230,0.156,34.865,4.469,30.396,cero
0.244,0.161,28.291,0.878,27.412,cero
0.253,0.166,29.495,4.900,24.595,cero
0.146,0.100,29.259,3.694,25.565,cero
0.191,0.130,31.090,0.703,30.387,cero
0.185,0.132,22.133,2.766,19.368,cero
0.177,0.122,25.595,0.977,24.618,cero
0.142,0.101,16.295,4.452,11.844,cero
0.231,0.149,15.769,3.839,11.930,cero
0.159,0.111,25.694,-0.683,26.377,cero
0.163,0.114,19.589,0.515,19.075,cero
0.141,0.101,8.904,4.535,4.369,cero
0.175,0.122,21.967,-3.287,25.254,cero
0.131,0.095,21.093,2.749,18.344,cero
0.149,0.104,22.240,4.216,18.025,cero
0.175,0.121,31.516,6.171,25.345,cero
0.162,0.116,24.698,5.038,19.661,cero
0.140,0.101,21.231,3.622,17.609,cero
0.097,0.068,15.659,-0.687,16.346,cero
0.178,0.125,28.014,2.812,25.202,cero
0.163,0.118,17.420,-1.761,19.181,cero
0.180,0.127,26.977,4.224,22.753,cero
0.211,0.143,32.827,-1.415,34.242,cero
0.187,0.127,35.485,0.556,34.929,cero
0.142,0.102,9.296,5.148,4.148,cero
0.194,0.136,35.585,6.319,29.266,cero
0.138,0.096,25.931,5.199,20.733,cero
0.181,0.123,30.339,5.325,25.014,cero
0.135,0.095,24.704,5.493,19.211,cero
0.133,0.092,13.536,-2.820,16.356,cero
0.180,0.121,25.457,3.937,21.520,cero
0.158,0.108,16.252,-5.317,21.569,cero
0.145,0.101,21.101,-2.900,24.001,cero
0.225,0.153,42.000,3.622,38.378,cero
0.158,0.109,27.100,-0.641,27.741,cero
0.138,0.095,24.935,3.007,21.928,cero
0.168,0.116,30.204,3.482,26.722,cero
0.136,0.096,30.335,5.147,25.188,cero
0.198,0.132,16.448,3.018,13.429,cero
0.195,0.135,28.427,4.170,24.256,cero
0.175,0.121,29.409,5.413,23.995,cero
0.197,0.134,29.574,4.483,25.090,cero
0.110,0.081,6.438,2.370,4.068,cero
0.161,0.112,27.525,2.264,25.260,cero
0.130,0.089,14.502,-2.003,16.505,cero
0.173,0.119,27.457,0.701,26.757,cero
0.127,0.088,25.688,4.772,20.916,cero
0.168,0.118,23.736,-2.921,26.657,cero
0.140,0.096,28.659,0.630,28.029,cero
0.190,0.133,37.355,4.736,32.619,cero
0.213,0.144,29.826,0.948,28.878,cero
0.124,0.089,12.118,4.159,7.959,cero
0.192,0.129,32.095,3.347,28.748,cero
0.169,0.114,12.766,6.199,6.567,cero
0.163,0.113,19.835,-5.586,25.421,cero
0.199,0.134,40.291,2.283,38.008,cero
0.131,0.092,11.362,0.217,11.145,cero
0.224,0.148,41.491,5.802,35.689,cero
0.130,0.089,18.749,0.551,18.198,cero
0.148,0.103,32.140,0.541,31.599,cero
0.155,0.105,34.399,2.548,31.851,cero
0.139,0.095,26.757,1.519,25.238,cero
0.215,0.147,35.420,2.331,33.089,cero
0.129,0.088,21.292,-0.180,21.472,cero
0.146,0.101,28.296,0.132,28.164,cero
0.207,0.141,38.444,3.767,34.677,cero
0.194,0.134,35.930,3.727,32.203,cero
0.191,0.132,36.724,7.832,28.893,cero
0.150,0.103,22.730,-3.080,25.810,cero
0.157,0.110,25.205,0.226,24.979,cero
0.115,0.080,9.492,5.341,4.151,cero
0.166,0.115,23.128,0.797,22.331,cero
0.134,0.094,22.493,1.014,21.479,cero
0.202,0.137,28.425,4.949,23.476,cero
0.151,0.103,19.957,-1.610,21.567,cero
0.121,0.086,12.916,-0.584,13.500,cero
0.128,0.091,9.632,-0.167,9.799,cero
0.193,0.133,32.018,1.303,30.715,cero
0.100,0.066,10.283,1.692,8.591,cero
0.146,0.105,19.024,0.937,18.086,cero
0.143,0.097,26.876,2.856,24.019,cero
0.140,0.100,21.982,2.949,19.034,cero
0.146,0.103,9.001,0.685,8.316,cero
0.147,0.107,16.643,4.332,12.311,cero
0.160,0.110,22.667,-1.429,24.096,cero
0.115,0.082,11.325,1.576,9.749,cero
0.170,0.119,33.941,2.402,31.539,cero
0.129,0.094,10.214,2.313,7.902,cero
0.157,0.109,26.648,0.594,26.054,cero
0.164,0.115,28.249,1.040,27.209,cero
0.179,0.123,30.152,-0.234,30.386,cero
0.149,0.102,19.805,-1.934,21.739,cero
0.199,0.132,28.982,-0.288,29.270,cero
0.105,0.074,22.417,3.092,19.325,cero
0.142,0.098,13.020,-1.881,14.901,cero
0.157,0.109,27.558,1.025,26.533,cero
0.113,0.077,11.051,-1.384,12.435,cero
0.130,0.092,18.254,0.404,17.850,cero
0.125,0.089,18.478,-0.430,18.908,cero
0.275,0.175,44.143,4.675,39.468,cero
0.201,0.138,34.927,1.724,33.204,cero
0.252,0.165,39.295,4.547,34.748,cero
0.118,0.082,14.340,1.283,13.056,cero
0.210,0.142,29.486,-0.932,30.418,cero
0.156,0.112,11.021,2.864,8.157,cero
0.238,0.159,39.276,2.560,36.716,cero
0.163,0.112,27.664,0.225,27.439,cero
0.239,0.156,33.137,3.085,30.052,cero
0.143,0.102,14.524,2.931,11.594,cero
0.238,0.158,37.585,0.635,36.950,cero
0.150,0.109,12.950,2.023,10.927,cero
0.252,0.165,40.953,3.256,37.696,cero
0.187,0.129,25.246,5.538,19.708,cero
0.092,0.063,17.217,-0.496,17.713,cero
0.239,0.159,40.068,2.983,37.086,cero
0.206,0.139,38.361,5.396,32.965,cero
0.262,0.171,44.215,1.618,42.597,cero
0.206,0.141,42.075,1.923,40.153,cero
0.125,0.090,16.756,1.383,15.373,cero
0.209,0.141,39.226,4.549,34.677,cero
0.124,0.086,21.447,2.617,18.830,cero
0.215,0.149,21.954,4.435,17.519,cero
0.259,0.171,38.480,6.715,31.766,cero
0.263,0.172,45.723,5.338,40.385,cero
0.179,0.123,28.607,1.235,27.372,cero
0.201,0.139,28.724,1.313,27.411,cero
0.259,0.167,44.057,2.196,41.861,cero
0.072,0.047,4.653,2.769,1.884,cero
0.216,0.148,25.846,5.989,19.857,cero
0.273,0.177,45.505,1.363,44.142,cero
0.132,0.092,18.396,3.622,14.773,cero
0.134,0.095,18.921,2.681,16.240,cero
0.266,0.172,37.480,1.640,35.840,cero
0.220,0.153,16.420,5.521,10.898,cero
0.270,0.174,39.432,4.422,35.010,cero
0.150,0.107,17.633,2.909,14.723,cero
0.178,0.126,32.843,6.494,26.349,cero
0.148,0.108,12.289,3.097,9.192,cero
0.201,0.138,25.338,1.866,23.472,cero
0.178,0.121,15.919,-4.432,20.350,cero
0.147,0.103,18.941,1.905,17.035,cero
0.242,0.164,23.674,5.917,17.756,cero
0.157,0.108,23.835,2.460,21.376,cero
0.173,0.120,32.768,1.869,30.899,cero
0.146,0.108,21.709,-2.476,24.185,cero
0.189,0.131,28.460,-0.636,29.096,cero
0.096,0.067,13.005,2.822,10.183,cero
0.133,0.092,14.953,4.446,10.507,cero
0.257,0.166,33.004,-2.573,35.577,cero
0.213,0.146,36.952,3.312,33.640,cero
0.162,0.112,29.960,1.896,28.064,cero
0.094,0.062,8.888,-1.227,10.115,cero
0.130,0.097,28.348,5.179,23.168,cero
0.118,0.085,16.229,0.142,16.088,cero
0.117,0.080,11.938,-1.062,13.000,cero
0.170,0.118,26.295,1.700,24.595,cero
0.210,0.145,29.936,2.010,27.926,cero
0.173,0.122,36.161,8.286,27.875,cero
0.145,0.101,28.162,1.066,27.095,cero
0.161,0.112,18.491,-2.399,20.890,cero
0.246,0.162,37.794,2.289,35.505,cero
0.285,0.182,41.777,2.550,39.227,cero
0.142,0.100,22.191,4.420,17.771,cero
0.140,0.095,18.958,-1.815,20.773,cero
0.204,0.138,37.732,2.024,35.707,cero
0.256,0.170,40.167,-0.977,41.144,cero
0.159,0.110,24.677,1.121,23.555,cero
0.127,0.091,19.838,-0.623,20.461,cero
0.184,0.129,26.348,3.232,23.115,cero
0.202,0.139,35.602,2.100,33.502,cero
0.216,0.148,38.630,1.539,37.091,cero
0.222,0.151,38.006,0.446,37.560,cero
0.218,0.148,41.183,1.447,39.736,cero
0.234,0.156,37.504,0.649,36.854,cero
0.122,0.085,19.326,0.717,18.608,cero
0.175,0.124,32.390,5.532,26.858,cero
0.226,0.151,42.234,5.435,36.799,cero
0.150,0.101,18.891,-1.226,20.117,cero
0.140,0.100,9.805,4.606,5.200,cero
0.167,0.112,15.045,-2.220,17.265,cero
0.118,0.087,-2.918,-0.737,-2.182,cero
0.184,0.127,30.340,3.354,26.986,cero
0.181,0.125,26.581,3.467,23.114,cero
0.206,0.142,28.260,-0.839,29.099,cero
0.118,0.082,17.184,2.774,14.409,cero
0.204,0.137,27.979,2.577,25.402,cero
0.206,0.141,23.188,-4.968,28.156,cero
0.168,0.119,28.614,5.516,23.098,cero
0.180,0.122,20.714,-1.935,22.649,cero
0.163,0.112,31.747,3.722,28.025,cero
0.202,0.138,30.989,3.795,27.194,cero
0.230,0.153,37.153,5.974,31.179,cero
0.206,0.143,23.958,-2.190,26.147,cero
0.117,0.085,-1.460,6.047,-7.507,cero
0.187,0.127,24.095,2.142,21.952,cero
0.188,0.130,34.240,4.246,29.994,cero
0.178,0.125,23.471,0.954,22.517,cero
0.175,0.124,21.089,-2.799,23.888,cero
0.166,0.115,23.658,1.525,22.133,cero
0.211,0.142,24.979,0.884,24.095,cero
0.174,0.118,26.057,-0.347,26.403,cero
0.161,0.107,16.997,1.233,15.765,cero
0.204,0.138,31.622,2.522,29.101,cero
0.158,0.108,28.203,2.305,25.899,cero
0.178,0.124,31.814,1.538,30.276,cero
0.218,0.148,40.801,4.056,36.745,cero
0.222,0.148,37.427,0.819,36.608,cero
0.238,0.160,38.406,5.297,33.109,cero
0.130,0.091,27.686,2.866,24.819,cero
0.106,0.072,15.904,-0.981,16.885,cero
0.189,0.129,27.919,5.566,22.354,cero
0.161,0.117,-0.297,5.321,-5.618,cero
0.206,0.143,31.844,-0.243,32.086,cero
0.182,0.122,19.579,-1.929,21.507,cero
0.161,0.109,26.201,0.758,25.443,cero
0.208,0.140,31.082,2.686,28.396,cero
0.209,0.137,33.608,4.879,28.730,cero
0.190,0.130,27.500,-0.920,28.420,cero
0.179,0.126,29.877,0.976,28.901,cero
0.137,0.097,22.969,6.184,16.786,cero
0.187,0.130,33.810,1.625,32.185,cero
0.100,0.072,3.577,3.501,0.076,cero
0.143,0.102,22.039,-0.493,22.533,cero
0.159,0.115,28.022,4.399,23.623,cero
0.190,0.131,26.347,-1.920,28.267,cero
0.135,0.100,6.887,0.611,6.276,cero
0.134,0.097,9.972,2.723,7.249,cero
0.153,0.108,11.684,0.808,10.876,cero
0.146,0.105,23.988,3.910,20.078,cero
0.160,0.111,14.733,-1.808,16.541,cero
0.151,0.106,20.846,1.041,19.805,cero
0.200,0.137,35.988,3.657,32.331,cero
0.221,0.149,42.828,3.011,39.817,cero
0.183,0.128,31.757,3.211,28.547,cero
0.165,0.118,17.061,0.565,16.496,cero
0.149,0.108,14.824,1.704,13.120,cero
0.122,0.089,6.397,3.329,3.068,cero
0.156,0.111,16.410,-1.295,17.705,cero
0.136,0.097,9.738,0.348,9.390,cero
0.164,0.115,27.568,6.055,21.512,cero
0.229,0.155,27.546,-0.338,27.884,cero
0.165,0.113,29.595,-0.181,29.776,cero
0.178,0.124,24.156,3.032,21.123,cero
0.231,0.160,36.656,1.626,35.029,cero
0.099,0.067,14.030,-1.664,15.693,cero
0.213,0.156,24.661,-2.129,26.790,cero
0.131,0.089,27.405,2.374,25.031,cero
0.148,0.105,20.635,4.746,15.889,cero
0.188,0.133,30.875,4.071,26.804,cero
0.112,0.077,19.328,2.278,17.050,cero
0.196,0.135,30.602,5.482,25.120,cero
0.227,0.149,43.385,3.270,40.115,cero
0.250,0.165,33.372,8.955,24.417,cero
0.150,0.109,2.847,5.180,-2.333,cero
0.254,0.165,39.013,2.988,36.025,cero
0.220,0.154,17.976,1.325,16.651,cero
0.157,0.116,28.830,0.742,28.088,cero
0.193,0.141,27.760,0.262,27.498,cero
0.184,0.130,33.692,5.769,27.923,cero
0.172,0.123,19.944,1.112,18.832,cero
0.206,0.143,10.638,5.761,4.876,cero
0.153,0.107,29.471,1.307,28.163,cero
0.159,0.115,11.852,-0.193,12.045,cero
0.158,0.111,13.396,2.058,11.338,cero
0.188,0.125,27.862,2.556,25.306,cero
0.169,0.117,25.601,-1.701,27.303,cero
0.189,0.130,21.034,-1.497,22.531,cero
0.204,0.138,26.757,2.621,24.136,cero
0.134,0.093,21.913,1.349,20.564,cero
0.204,0.139,32.660,-0.310,32.970,cero
0.173,0.121,22.481,0.542,21.940,cero
